student10_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student10_2.c, E-RP-05, dlho aktívna premenná, 16
student10_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student10_3.c, E-RP-05, dlho aktívna premenná, 16
student10_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student11_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student11_1.c, E-RP-05, dlho aktívna premenná, 5
student11_1.c, E-RP-05, dlho aktívna premenná, 6
student11_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student11_2.c, E-RP-05, dlho aktívna premenná, 5
student11_2.c, E-RP-05, dlho aktívna premenná, 6
student12_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student13_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student13_1.c, E-RP-05, dlho aktívna premenná, 17
student14_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_4.c, E-SxA-07, nesprávna syntax, 9
student14_4.c, L-SxA-09, využitie k¾úèového slova ako premennej, 13
student14_5.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_6.c, E-RP-07, neoptimálne využívanie premenných, 0
student15_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student15_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student15_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student15_4.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student16_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_1.c, E-RP-05, dlho aktívna premenná, 7
student16_1.c, E-RP-05, dlho aktívna premenná, 8
student16_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_2.c, E-RP-05, dlho aktívna premenná, 7
student16_2.c, E-RP-05, dlho aktívna premenná, 8
student16_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_3.c, E-RP-05, dlho aktívna premenná, 7
student16_3.c, E-RP-05, dlho aktívna premenná, 8
student16_4.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_4.c, E-RP-05, dlho aktívna premenná, 7
student16_4.c, E-RP-05, dlho aktívna premenná, 8
student16_5.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_5.c, E-RP-05, dlho aktívna premenná, 7
student16_5.c, E-RP-05, dlho aktívna premenná, 8
student16_6.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_6.c, E-RP-05, dlho aktívna premenná, 8
student16_6.c, E-RP-05, dlho aktívna premenná, 9
student17_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student17_1.c, E-RP-05, dlho aktívna premenná, 4
student18_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student19_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student19_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student19_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student1_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student1_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student1_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student20_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student20_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student20_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student20_4.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student20_5.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student21_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student21_1.c, E-RP-05, dlho aktívna premenná, 4
student21_1.c, E-RP-05, dlho aktívna premenná, 5
student21_1.c, E-RP-05, dlho aktívna premenná, 6
student21_1.c, E-RP-05, dlho aktívna premenná, 7
student21_1.c, E-RP-05, dlho aktívna premenná, 8
student21_1.c, E-RP-05, dlho aktívna premenná, 9
student21_1.c, E-RP-05, dlho aktívna premenná, 10
student21_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student21_2.c, E-RP-05, dlho aktívna premenná, 4
student21_2.c, E-RP-05, dlho aktívna premenná, 5
student21_2.c, E-RP-05, dlho aktívna premenná, 6
student21_2.c, E-RP-05, dlho aktívna premenná, 7
student21_2.c, E-RP-05, dlho aktívna premenná, 8
student21_2.c, E-RP-05, dlho aktívna premenná, 9
student21_2.c, E-RP-05, dlho aktívna premenná, 10
student23_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student23_1.c, W-01, využívanie globálnej premennej, 3
student24_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student24_1.c, E-RP-05, dlho aktívna premenná, 75
student24_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student24_2.c, E-RP-05, dlho aktívna premenná, 75
student24_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student24_3.c, E-RP-05, dlho aktívna premenná, 75
student24_4.c, E-RP-07, neoptimálne využívanie premenných, 0
student24_4.c, E-RP-05, dlho aktívna premenná, 75
student25_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student25_1.c, E-RP-05, dlho aktívna premenná, 6
student25_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student25_2.c, E-RP-05, dlho aktívna premenná, 7
student26_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student27_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student29_1.c, E-RP-05, dlho aktívna premenná, 23
student29_1.c, E-RP-05, dlho aktívna premenná, 41
student29_1.c, E-RP-05, dlho aktívna premenná, 42
student29_2.c, E-RP-05, dlho aktívna premenná, 23
student29_2.c, E-RP-05, dlho aktívna premenná, 41
student29_2.c, E-RP-05, dlho aktívna premenná, 42
student2_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student2_1.c, E-RP-05, dlho aktívna premenná, 7
student2_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student2_2.c, E-RP-05, dlho aktívna premenná, 7
student30_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student30_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student30_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student30_4.c, E-RP-07, neoptimálne využívanie premenných, 0
student31_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student31_1.c, E-RP-05, dlho aktívna premenná, 5
student31_1.c, E-RP-05, dlho aktívna premenná, 21
student31_1.c, E-RP-05, dlho aktívna premenná, 38
student31_1.c, E-RP-05, dlho aktívna premenná, 23
student31_1.c, E-RP-05, dlho aktívna premenná, 39
