student10_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student10_1.c, E-RP-05, dlho aktívna premenná, 6
student10_1.c, E-RP-05, dlho aktívna premenná, 7
student10_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student10_2.c, E-RP-05, dlho aktívna premenná, 7
student10_2.c, E-RP-05, dlho aktívna premenná, 8
student10_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student10_3.c, E-RP-05, dlho aktívna premenná, 7
student10_3.c, E-RP-05, dlho aktívna premenná, 8
student10_4.c, E-RP-07, neoptimálne využívanie premenných, 0
student10_4.c, E-RP-05, dlho aktívna premenná, 7
student10_4.c, E-RP-05, dlho aktívna premenná, 8
student10_5.c, E-RP-07, neoptimálne využívanie premenných, 0
student10_5.c, E-RP-05, dlho aktívna premenná, 7
student10_5.c, E-RP-05, dlho aktívna premenná, 8
student10_6.c, E-RP-05, dlho aktívna premenná, 50
student10_6.c, E-RP-05, dlho aktívna premenná, 51
student10_6.c, E-SmA-02, viacnásobná deklarácia premennej, 101
student10_6.c, E-RP-05, dlho aktívna premenná, 7
student10_6.c, E-RP-05, dlho aktívna premenná, 8
student10_6.c, E-RP-05, dlho aktívna premenná, 9
student10_6.c, E-RP-05, dlho aktívna premenná, 10
student10_6.c, E-RP-05, dlho aktívna premenná, 13
student10_6.c, E-RP-05, dlho aktívna premenná, 14
student10_7.c, E-RP-05, dlho aktívna premenná, 64
student10_7.c, E-RP-05, dlho aktívna premenná, 65
student10_7.c, E-RP-05, dlho aktívna premenná, 7
student10_7.c, E-RP-05, dlho aktívna premenná, 8
student10_7.c, E-RP-05, dlho aktívna premenná, 9
student10_7.c, E-RP-05, dlho aktívna premenná, 10
student10_7.c, E-RP-05, dlho aktívna premenná, 13
student10_7.c, E-RP-05, dlho aktívna premenná, 14
student10_7.c, E-SmA-02, viacnásobná deklarácia premennej, 111
student10_8.c, E-RP-05, dlho aktívna premenná, 64
student10_8.c, E-RP-05, dlho aktívna premenná, 65
student10_8.c, E-RP-05, dlho aktívna premenná, 7
student10_8.c, E-RP-05, dlho aktívna premenná, 8
student10_8.c, E-RP-05, dlho aktívna premenná, 9
student10_8.c, E-RP-05, dlho aktívna premenná, 10
student10_8.c, E-RP-05, dlho aktívna premenná, 13
student10_8.c, E-RP-05, dlho aktívna premenná, 14
student10_8.c, E-SmA-02, viacnásobná deklarácia premennej, 111
student11_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student11_1.c, E-RP-05, dlho aktívna premenná, 97
student11_1.c, E-RP-05, dlho aktívna premenná, 37
student11_1.c, E-RP-05, dlho aktívna premenná, 135
student11_1.c, W-01, využívanie globálnej premennej, 10
student11_1.c, E-RP-05, dlho aktívna premenná, 186
student11_1.c, W-01, využívanie globálnej premennej, 11
