student10_1.c, E-RP-05, dlho aktívna premenná, 2
student10_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student10_2.c, E-RP-05, dlho aktívna premenná, 2
student10_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student10_3.c, E-RP-05, dlho aktívna premenná, 2
student10_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student10_4.c, E-RP-05, dlho aktívna premenná, 2
student10_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student10_5.c, E-RP-05, dlho aktívna premenná, 2
student10_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student10_6.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student10_6.c, E-RP-05, dlho aktívna premenná, 8
student10_7.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student10_7.c, E-RP-05, dlho aktívna premenná, 8
student10_8.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student10_8.c, E-RP-05, dlho aktívna premenná, 8
student11_1.c, E-RP-05, dlho aktívna premenná, 7
student11_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student11_1.c, W-01, využívanie globálnej premennej, 2
student11_2.c, E-RP-05, dlho aktívna premenná, 6
student11_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student11_2.c, W-01, využívanie globálnej premennej, 2
student11_3.c, E-RP-05, dlho aktívna premenná, 5
student11_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student11_3.c, W-01, využívanie globálnej premennej, 2
student11_4.c, E-RP-05, dlho aktívna premenná, 5
student11_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student11_4.c, W-01, využívanie globálnej premennej, 2
student11_5.c, E-RP-05, dlho aktívna premenná, 5
student11_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student11_5.c, W-01, využívanie globálnej premennej, 2
student12_1.c, E-RP-05, dlho aktívna premenná, 2
student12_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student12_2.c, E-RP-05, dlho aktívna premenná, 2
student12_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student12_3.c, E-RP-05, dlho aktívna premenná, 3
student12_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student12_4.c, E-RP-05, dlho aktívna premenná, 5
student12_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student12_5.c, E-RP-05, dlho aktívna premenná, 6
student12_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student12_6.c, E-RP-05, dlho aktívna premenná, 6
student12_6.c, E-RP-07, neoptimálne využívanie premenných, 1
student13_1.c, E-RP-05, dlho aktívna premenná, 3
student13_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student13_2.c, E-RP-05, dlho aktívna premenná, 3
student13_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student13_3.c, E-RP-05, dlho aktívna premenná, 3
student13_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student13_4.c, E-RP-05, dlho aktívna premenná, 4
student13_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student13_5.c, E-RP-05, dlho aktívna premenná, 5
student13_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_1.c, E-RP-05, dlho aktívna premenná, 13
student14_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_1.c, W-01, využívanie globálnej premennej, 1
student14_10.c, E-RP-05, dlho aktívna premenná, 11
student14_10.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_10.c, W-01, využívanie globálnej premennej, 1
student14_11.c, E-RP-05, dlho aktívna premenná, 11
student14_11.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_11.c, W-01, využívanie globálnej premennej, 1
student14_12.c, E-RP-05, dlho aktívna premenná, 11
student14_12.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_12.c, W-01, využívanie globálnej premennej, 1
student14_13.c, E-RP-05, dlho aktívna premenná, 11
student14_13.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_13.c, W-01, využívanie globálnej premennej, 1
student14_14.c, E-RP-05, dlho aktívna premenná, 11
student14_14.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_14.c, W-01, využívanie globálnej premennej, 1
student14_15.c, E-RP-05, dlho aktívna premenná, 11
student14_15.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_15.c, W-01, využívanie globálnej premennej, 1
student14_16.c, E-RP-05, dlho aktívna premenná, 11
student14_16.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_16.c, W-01, využívanie globálnej premennej, 1
student14_17.c, E-RP-05, dlho aktívna premenná, 14
student14_17.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_17.c, W-01, využívanie globálnej premennej, 1
student14_18.c, E-RP-05, dlho aktívna premenná, 14
student14_18.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_18.c, W-01, využívanie globálnej premennej, 1
student14_2.c, E-RP-05, dlho aktívna premenná, 11
student14_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_2.c, W-01, využívanie globálnej premennej, 1
student14_3.c, E-RP-05, dlho aktívna premenná, 11
student14_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_3.c, W-01, využívanie globálnej premennej, 1
student14_4.c, E-RP-05, dlho aktívna premenná, 11
student14_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_4.c, W-01, využívanie globálnej premennej, 1
student14_5.c, E-RP-05, dlho aktívna premenná, 11
student14_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_5.c, W-01, využívanie globálnej premennej, 1
student14_6.c, E-RP-05, dlho aktívna premenná, 11
student14_6.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_6.c, W-01, využívanie globálnej premennej, 1
student14_7.c, E-RP-05, dlho aktívna premenná, 11
student14_7.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_7.c, W-01, využívanie globálnej premennej, 1
student14_8.c, E-RP-05, dlho aktívna premenná, 11
student14_8.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_8.c, W-01, využívanie globálnej premennej, 1
student14_9.c, E-RP-05, dlho aktívna premenná, 11
student14_9.c, E-RP-07, neoptimálne využívanie premenných, 1
student14_9.c, W-01, využívanie globálnej premennej, 1
student15_1.c, E-RP-05, dlho aktívna premenná, 2
student15_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student15_2.c, E-RP-05, dlho aktívna premenná, 3
student15_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_1.c, E-RP-05, dlho aktívna premenná, 4
student16_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_1.c, W-01, využívanie globálnej premennej, 6
student16_10.c, E-RP-05, dlho aktívna premenná, 8
student16_10.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_10.c, W-01, využívanie globálnej premennej, 8
student16_11.c, E-RP-05, dlho aktívna premenná, 9
student16_11.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_12.c, E-RP-05, dlho aktívna premenná, 9
student16_12.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_13.c, E-RP-05, dlho aktívna premenná, 9
student16_13.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_14.c, E-RP-05, dlho aktívna premenná, 8
student16_14.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_15.c, E-RP-05, dlho aktívna premenná, 8
student16_15.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_2.c, E-RP-05, dlho aktívna premenná, 4
student16_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_2.c, W-01, využívanie globálnej premennej, 6
student16_3.c, E-RP-05, dlho aktívna premenná, 4
student16_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_3.c, W-01, využívanie globálnej premennej, 6
student16_4.c, E-RP-05, dlho aktívna premenná, 8
student16_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_4.c, W-01, využívanie globálnej premennej, 8
student16_5.c, E-RP-05, dlho aktívna premenná, 8
student16_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_5.c, W-01, využívanie globálnej premennej, 8
student16_6.c, E-RP-05, dlho aktívna premenná, 8
student16_6.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_6.c, W-01, využívanie globálnej premennej, 8
student16_7.c, E-RP-05, dlho aktívna premenná, 8
student16_7.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_7.c, W-01, využívanie globálnej premennej, 8
student16_8.c, E-RP-05, dlho aktívna premenná, 8
student16_8.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_8.c, W-01, využívanie globálnej premennej, 8
student16_9.c, E-RP-05, dlho aktívna premenná, 8
student16_9.c, E-RP-07, neoptimálne využívanie premenných, 1
student16_9.c, W-01, využívanie globálnej premennej, 8
student17_1.c, E-RP-05, dlho aktívna premenná, 9
student17_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student17_1.c, W-01, využívanie globálnej premennej, 2
student17_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student17_2.c, E-RP-05, dlho aktívna premenná, 8
student17_2.c, W-01, využívanie globálnej premennej, 2
student17_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student17_3.c, E-RP-05, dlho aktívna premenná, 8
student17_3.c, W-01, využívanie globálnej premennej, 2
student17_4.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student17_4.c, E-RP-05, dlho aktívna premenná, 8
student17_4.c, W-01, využívanie globálnej premennej, 2
student18_1.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student18_1.c, E-RP-05, dlho aktívna premenná, 15
student18_10.c, E-RP-05, dlho aktívna premenná, 16
student18_10.c, E-RP-07, neoptimálne využívanie premenných, 1
student18_11.c, E-RP-05, dlho aktívna premenná, 18
student18_11.c, E-RP-07, neoptimálne využívanie premenných, 1
student18_12.c, E-RP-05, dlho aktívna premenná, 18
student18_12.c, E-RP-07, neoptimálne využívanie premenných, 1
student18_13.c, E-RP-05, dlho aktívna premenná, 18
student18_13.c, E-RP-07, neoptimálne využívanie premenných, 1
student18_14.c, E-RP-05, dlho aktívna premenná, 18
student18_14.c, E-RP-07, neoptimálne využívanie premenných, 1
student18_15.c, E-RP-05, dlho aktívna premenná, 18
student18_15.c, E-RP-07, neoptimálne využívanie premenných, 1
student18_2.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student18_2.c, E-RP-05, dlho aktívna premenná, 14
student18_3.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student18_3.c, E-RP-05, dlho aktívna premenná, 17
student18_4.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student18_4.c, E-RP-05, dlho aktívna premenná, 17
student18_5.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student18_5.c, E-RP-05, dlho aktívna premenná, 17
student18_6.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student18_6.c, E-RP-05, dlho aktívna premenná, 17
student18_7.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student18_7.c, E-RP-05, dlho aktívna premenná, 16
student18_8.c, E-RP-05, dlho aktívna premenná, 14
student18_8.c, E-RP-07, neoptimálne využívanie premenných, 1
student18_9.c, E-RP-05, dlho aktívna premenná, 16
student18_9.c, E-RP-07, neoptimálne využívanie premenných, 1
student19_1.c, E-RP-05, dlho aktívna premenná, 10
student19_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student19_2.c, E-RP-05, dlho aktívna premenná, 10
student19_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student19_3.c, E-RP-05, dlho aktívna premenná, 10
student19_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student19_4.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student19_4.c, E-RP-05, dlho aktívna premenná, 9
student19_5.c, E-SmA-02, viacnásobná deklarácia premennej, 2
student19_5.c, E-RP-05, dlho aktívna premenná, 9
student19_6.c, E-SmA-02, viacnásobná deklarácia premennej, 2
student19_6.c, E-RP-05, dlho aktívna premenná, 9
student19_7.c, E-SmA-02, viacnásobná deklarácia premennej, 2
student19_7.c, E-RP-05, dlho aktívna premenná, 9
student19_8.c, E-SmA-02, viacnásobná deklarácia premennej, 2
